Rank,Company,Sector,Industry,Location,Employees,Revenue,Profits,Change in Rank
719,Splunk,Technology,Computer Software,"San Francisco, CA",7500,4215.6,263.7,76.0
720,Plexus,Technology,Semiconductors and Other Electronic Components,"Neenah, WI",25000,4210.3,139.1,49.0
721,Hub Group,Transportation,Transportation and Logistics,"Oak Brook, IL",5950,4202.6,167.5,-101.0
722,Lincoln Electric Holdings,Industrials,Industrial Machinery,"Cleveland, OH",12000,4191.6,545.2,55.0
723,NCR Atleos,Business Services,Financial Data Services,"Atlanta, GA",20000,4191.0,-134.0,0.0
724,Calumet,Energy,Petroleum Refining,"Indianapolis, IN",1580,4181.0,48.1,-50.0
725,Dycom Industries,Engineering & Construction,Engineering & Construction,"Palm Beach Gardens, FL",15611,4175.6,218.9,46.0
726,Valmont Industries,Materials,Metals,"Omaha, NE",11125,4174.6,150.8,-15.0
727,ATI,Materials,Metals,"Dallas, TX",7300,4173.7,410.8,38.0
728,Twilio,Technology,Internet Services and Retailing,"San Francisco, CA",5867,4153.9,-1015.4,39.0
729,CNO Financial Group,Financials,"Insurance: Life, Health (stock)","Carmel, IN",3500,4146.8,276.5,77.0
730,Patterson-UTI Energy,Energy,"Oil and Gas Equipment, Services","Houston, TX",10600,4146.5,246.3,221.0
731,Brinker International,"Hotels, Restaurants & Leisure",Food Services,"Dallas, TX",64323,4133.2,102.6,42.0
732,Charles River Laboratories International,Health Care,Health Care: Pharmacy and Other Services,"Wilmington, MA",21100,4129.4,474.6,13.0
733,Hyster-Yale,Industrials,Industrial Machinery,"Cleveland, OH",8600,4118.3,125.9,80.0
734,Brighthouse Financial,Financials,"Insurance: Life, Health (stock)","Charlotte, NC",1500,4117.0,-1112.0,-286.0
735,Service Corp. International,Business Services,Miscellaneous,"Houston, TX",21267,4099.8,537.3,-4.0
736,CrossAmerica Partners,Energy,"Oil and Gas Equipment, Services","Allentown, PA",2521,4090.5,42.6,-65.0
737,Cadence,Technology,Computer Software,"San Jose, CA",11226,4090.0,1041.1,72.0
738,MillerKnoll,Household Products,"Home Equipment, Furnishings","Zeeland, MI",10900,4087.1,42.1,11.0
739,Realty Income,Financials,Real estate,"San Diego, CA",418,4079.0,872.3,103.0
740,Middleby,Industrials,Industrial Machinery,"Elgin, IL",10722,4036.6,400.9,-1.0
741,M/I Homes,Engineering & Construction,Homebuilders,"Columbus, OH",1607,4033.5,465.4,-12.0
742,Hologic,Health Care,Medical Products and Equipment,"Marlborough, MA",6990,4030.4,456.0,-82.0
743,Alliant Energy,Energy,Utilities: Gas and Electric,"Madison, WI",3281,4027.0,703.0,-22.0
744,Generac Holdings,Industrials,Industrial Machinery,"Waukesha, WI",8458,4022.7,214.6,-54.0
745,MSC Industrial Direct,Wholesalers,Wholesalers: Diversified,"Melville, NY",7254,4009.3,343.2,45.0
746,Rocket Companies,Financials,Diversified Financials,"Detroit, MI",14700,4005.9,-15.5,-173.0
747,Upbound Group,Retailing,Specialty Retailers: Other,"Plano, TX",12970,3992.4,-5.2,-28.0
748,East West Bancorp,Financials,Commercial Banks,"Pasadena, CA",3206,3989.1,1161.2,209.0
749,Hilton Grand Vacations,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Orlando, FL",15000,3978.0,313.0,17.0
750,Grocery Outlet Holding,Food & Drug Stores,Food & Drug Stores,"Emeryville, CA",949,3969.5,79.4,55.0
751,Dentsply Sirona,Health Care,Medical Products and Equipment,"Charlotte, NC",15000,3965.0,-132.0,6.0
752,V2X,Aerospace & Defense,Aerospace & Defense,"McLean, VA",16000,3963.1,-22.6,155.0
753,Crocs,Apparel,Apparel,"Broomfield, CO",7030,3962.3,792.6,59.0
754,Spectrum Brands Holdings,Household Products,Household and Personal Products,"Middleton, WI",3100,3961.3,1801.5,-87.0
755,Visteon,Motor Vehicles & Parts,Motor Vehicles & Parts,"Van Buren Township, MI",10000,3954.0,486.0,24.0
756,Acuity Brands,Industrials,"Electronics, Electrical Equip.","Atlanta, GA",12200,3952.2,346.0,-14.0
757,Greenbrier,Transportation,Transportation Equipment,"Lake Oswego, OR",13800,3944.0,62.5,139.0
758,Webster Financial,Financials,Commercial Banks,"Stamford, CT",4196,3942.6,867.8,181.0
759,Cabot,Chemicals,Chemicals,"Boston, MA",4268,3931.0,445.0,-43.0
760,RXO,Transportation,"Trucking, Truck Leasing","Charlotte, NC",7242,3927.0,4.0,-95.0
761,Chord Energy,Energy,"Mining, Crude-Oil Production","Houston, TX",514,3896.6,1023.8,33.0
762,Popular,Financials,Commercial Banks,"Hato Rey, Unknown",9088,3896.0,541.3,76.0
763,Garrett Motion,Motor Vehicles & Parts,Motor Vehicles & Parts,"Plymouth, MI",8650,3886.0,261.0,38.0
764,Tutor Perini,Engineering & Construction,Engineering & Construction,"Sylmar, CA",8200,3880.2,-171.2,12.0
765,Copart,Retailing,"Automotive Retailing, Services","Dallas, TX",12000,3869.5,1237.7,55.0
766,Toast,Business Services,Financial Data Services,"Boston, MA",5500,3865.0,-246.0,171.0
767,Align Technology,Health Care,Medical Products and Equipment,"Tempe, AZ",21610,3862.3,445.1,19.0
768,A.O. Smith,Industrials,"Electronics, Electrical Equip.","Milwaukee, WI",12000,3852.8,556.6,12.0
769,TransUnion,Business Services,Financial Data Services,"Chicago, IL",13200,3831.2,-206.2,13.0
770,NCR Voyix,Technology,Computer Software,"Atlanta, GA",15500,3830.0,-423.0,-296.0
771,Akamai Technologies,Technology,Internet Services and Retailing,"Cambridge, MA",10281,3811.9,547.6,28.0
772,Trimble,Technology,"Electronics, Electrical Equip.","Westminster, CO",12700,3798.7,311.3,19.0
773,Medical Mutual of Ohio,Financials,"Insurance: Life, Health (Mutual)","Cleveland, OH",3084,3795.5,65.9,50.0
774,AMN Healthcare Services,Health Care,Health Care: Pharmacy and Other Services,"Dallas, TX",3585,3789.3,210.7,-146.0
775,Mettler-Toledo International,Technology,"Scientific,Photographic and  Control Equipment","Columbus, OH",16650,3788.3,788.8,-17.0
776,ScanSource,Wholesalers,Wholesalers: Electronics and Office Equipment,"Greenville, SC",2300,3787.7,89.8,41.0
777,LCI Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,"Elkhart, IN",11700,3784.8,64.2,-143.0
778,Cboe Global Markets,Financials,Securities,"Chicago, IL",1647,3773.5,761.4,-31.0
779,Diebold Nixdorf,Technology,"Computers, Office Equipment","North Canton, OH",21000,3760.5,,50.0
780,ChampionX,Energy,"Oil and Gas Equipment, Services","The Woodlands, TX",7100,3758.3,314.2,-8.0
781,Corpay,Business Services,Financial Data Services,"Atlanta, GA",10500,3757.7,981.9,50.0
782,iHeartMedia,Media,Entertainment,"San Antonio, TX",9990,3751.0,-1102.7,-21.0
783,Travel + Leisure,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Orlando, FL",19000,3750.0,396.0,25.0
784,Dream Finders Homes,Engineering & Construction,Homebuilders,"Jacksonville, FL",1236,3748.6,295.9,59.0
785,Boyd Gaming,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",16129,3738.5,620.0,26.0
786,NLV Financial,Financials,"Insurance: Life, Health (stock)","Montpelier, VT",1370,3735.0,217.4,0.0
787,Ensign Group,Health Care,Health Care: Medical Facilities,"San Juan Capistrano, CA",35300,3729.4,209.4,102.0
788,Sally Beauty Holdings,Retailing,Specialty Retailers: Other,"Denton, TX",20000,3728.1,184.6,-20.0
789,Conduent,Business Services,Diversified Outsourcing Services,"Florham Park, NJ",59000,3722.0,-296.0,-26.0
790,Sylvamo,Materials,Forest and Paper Products,"Memphis, TN",6500,3721.0,253.0,-63.0
791,Tri Pointe Homes,Engineering & Construction,Homebuilders,"Incline Village, NV",1438,3715.2,343.7,-81.0
792,EnerSys,Industrials,"Electronics, Electrical Equip.","Reading, PA",11350,3708.6,175.8,49.0
793,Incyte,Health Care,Pharmaceuticals,"Wilmington, DE",2524,3695.6,597.6,39.0
794,Century Communities,Engineering & Construction,Homebuilders,"Greenwood Village, CO",1650,3692.2,259.2,-99.0
795,Rithm Capital,Financials,Real estate,"New York, NY",6570,3691.9,622.3,-112.0
