Rank,Company,Sector,Industry,Location,Employees,Revenue,Profits,Change in Rank
911,Vail Resorts,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Broomfield, CO",32100,2889.4,268.1,70.0
912,Radius Recycling,Materials,Metals,"Portland, OR",3353,2882.2,-25.8,-88.0
913,PennyMac Financial Services,Financials,Diversified Financials,"Westlake Village, CA",3914,2881.8,144.7,52.0
914,Saia,Transportation,"Trucking, Truck Leasing","Johns Creek, GA",14000,2881.4,354.9,6.0
915,Equity Residential,Financials,Real estate,"Chicago, IL",2400,2874.0,835.4,21.0
916,Helmerich & Payne,Energy,"Oil and Gas Equipment, Services","Tulsa, OK",7100,2872.4,434.1,0.0
917,Korn Ferry,Business Services,Diversified Outsourcing Services,"Los Angeles, CA",10697,2863.8,209.5,36.0
918,PC Connection,Wholesalers,Wholesalers: Electronics and Office Equipment,"Merrimack, NH",2703,2850.6,83.3,-42.0
919,Curtiss-Wright,Aerospace & Defense,Aerospace & Defense,"Davidson, NC",8600,2845.4,354.5,56.0
920,SLM,Financials,Diversified Financials,"Newark, DE",1740,2839.4,581.4,0.0
921,Benchmark Electronics,Technology,Semiconductors and Other Electronic Components,"Tempe, AZ",12703,2839.0,64.3,-12.0
922,American National Group,Financials,"Insurance: Life, Health (stock)","West Des Moines, IA",1020,2836.0,210.5,0.0
923,Pure Storage,Technology,"Computers, Office Equipment","Santa Clara, CA",5600,2830.6,61.3,10.0
924,Knife River,Materials,"Building Materials, Glass","Bismarck, ND",4389,2830.4,182.9,0.0
925,Caleres,Retailing,Specialty Retailers: Apparel,"St. Louis, MO",7150,2817.3,171.4,-25.0
926,BrightView Holdings,Business Services,Diversified Outsourcing Services,"Blue Bell, PA",20700,2816.0,-7.7,1.0
927,Cooper-Standard Holdings,Motor Vehicles & Parts,Motor Vehicles & Parts,"Northville, MI",21500,2815.9,-202.0,55.0
928,Primerica,Financials,"Insurance: Life, Health (stock)","Duluth, GA",3150,2815.7,576.6,12.0
929,F5,Technology,Network and Other Communications Equipment,"Seattle, WA",6492,2813.2,394.9,16.0
930,Matador Resources,Energy,"Mining, Crude-Oil Production","Dallas, TX",395,2806.8,846.1,-48.0
931,Snowflake,Technology,Internet Services and Retailing,"Bozeman, MT",7004,2806.5,-836.1,0.0
932,Viasat,Technology,Network and Other Communications Equipment,"Carlsbad, CA",6800,2803.2,1084.8,-9.0
933,California Resources,Energy,"Mining, Crude-Oil Production","Long Beach, CA",970,2801.0,564.0,9.0
934,Peloton Interactive,"Hotels, Restaurants & Leisure","Toys, Sporting Goods","New York, NY",3541,2800.2,-1261.7,-131.0
935,Roblox,Media,Entertainment,"San Mateo, CA",2457,2799.3,-1151.9,0.0
936,Installed Building Products,Engineering & Construction,Homebuilders,"Columbus, OH",10600,2778.6,243.7,14.0
937,First National of Nebraska,Financials,Commercial Banks,"Omaha, NE",4799,2777.5,227.4,0.0
938,Guess,Retailing,Specialty Retailers: Apparel,"Los Angeles, CA",12000,2776.5,198.2,10.0
939,ESAB,Industrials,Industrial Machinery,"North Bethesda, MD",9000,2774.8,205.3,28.0
940,Amica Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),"Lincoln, RI",3597,2772.5,-218.4,23.0
941,AvalonBay Communities,Financials,Real estate,"Arlington, VA",3009,2767.9,928.8,27.0
942,DocuSign,Technology,Computer Software,"San Francisco, CA",6840,2761.9,74.0,41.0
943,Titan Machinery,Retailing,Specialty Retailers: Other,"West Fargo, ND",3471,2758.4,112.4,0.0
944,ModivCare,Health Care,Health Care: Pharmacy and Other Services,"Denver, CO",21200,2756.2,-204.5,41.0
945,Hovnanian Enterprises,Engineering & Construction,Homebuilders,"Matawan, NJ",1715,2756.0,205.9,-42.0
946,Etsy,Retailing,Internet Services and Retailing,"Brooklyn, NY",2420,2748.4,307.6,26.0
947,Adams Resources & Energy,Energy,Petroleum Refining,"Houston, TX",741,2745.3,0.2,-111.0
948,Surgery Partners,Health Care,Health Care: Medical Facilities,"Brentwood, TN",12000,2743.3,-11.9,30.0
949,Columbia Banking System,Financials,Commercial Banks,"Tacoma, WA",5114,2743.3,348.7,0.0
950,Verisk,Business Services,Financial Data Services,"Jersey City, NJ",7500,2728.2,614.6,-63.0
951,MasterBrand,Materials,"Building Materials, Glass","Beachwood, OH",12307,2726.2,182.0,0.0
952,Hawaiian Holdings,Transportation,Airlines,"Honolulu, HI",7362,2716.3,-260.5,2.0
953,AMC Networks,Media,Entertainment,"New York, NY",1900,2711.9,215.5,-74.0
954,SBA Communications,Financials,Real estate,"Boca Raton, FL",1787,2711.6,501.8,1.0
955,Americold Realty Trust,Financials,Real estate,"Atlanta, GA",14632,2702.8,-336.2,-51.0
956,NewMarket,Chemicals,Chemicals,"Richmond, VA",2000,2698.4,388.9,-24.0
957,Park Hotels & Resorts,Financials,Real estate,"Tysons, VA",90,2698.0,97.0,30.0
958,Alexandria Real Estate Equities,Financials,Real estate,"Pasadena, CA",568,2690.3,103.6,0.0
959,Griffon,Materials,"Building Materials, Glass","New York, NY",5700,2685.2,77.6,-67.0
960,Air Lease,Business Services,Equipment Leasing,"Los Angeles, CA",163,2685.0,614.6,0.0
961,UL Solutions,Business Services,Diversified Outsourcing Services,"Northbrook, IL",15063,2678.0,260.0,0.0
962,Teradyne,Technology,Semiconductors and Other Electronic Components,"North Reading, MA",6500,2676.3,448.8,-90.0
963,OGE Energy,Energy,Utilities: Gas and Electric,"Oklahoma City, OK",2329,2674.3,416.8,-130.0
964,Bio-Rad Laboratories,Technology,"Scientific,Photographic and  Control Equipment","Hercules, CA",8030,2671.3,-637.3,-46.0
965,Spire,Energy,Utilities: Gas and Electric,"St. Louis, MO",3589,2666.3,217.5,0.0
966,Gannett,Media,"Publishing, Printing","McLean, VA",12800,2663.6,-27.8,-65.0
967,Stericycle,Business Services,Waste Management,"Bannockburn, IL",13948,2659.3,-21.4,-23.0
968,Cullen/Frost Bankers,Financials,Commercial Banks,"San Antonio, TX",5495,2646.3,598.0,0.0
969,Extra Space Storage,Financials,Real estate,"Salt Lake City, UT",7618,2645.1,803.2,0.0
970,REV Group,Motor Vehicles & Parts,Motor Vehicles & Parts,"Brookfield, WI",6724,2638.0,45.3,0.0
971,ProFrac Holding,Energy,"Oil and Gas Equipment, Services","Willow Park, TX",2949,2630.0,-97.7,26.0
972,Nordson,Industrials,Industrial Machinery,"Westlake, OH",7900,2628.6,487.5,-3.0
973,Summit Materials,Materials,"Building Materials, Glass","Denver, CO",5300,2619.5,285.9,25.0
974,Valvoline,Chemicals,Chemicals,"Lexington, KY",10250,2617.9,1419.7,-221.0
975,Kontoor Brands,Apparel,Apparel,"Greensboro, NC",13700,2607.5,231.0,-19.0
976,Skyline Champion,Engineering & Construction,Homebuilders,"Troy, MI",7700,2606.6,401.8,0.0
977,Teladoc Health,Health Care,Health Care: Pharmacy and Other Services,"Purchase, NY",5208,2602.4,-220.4,22.0
978,Louisiana-Pacific,Materials,"Building Materials, Glass","Nashville, TN",4100,2581.0,178.0,-261.0
979,Universal,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",19600,2569.8,124.1,0.0
980,Consol Energy,Energy,"Mining, Crude-Oil Production","Canonsburg, PA",2020,2568.9,655.9,0.0
981,Encore Wire,Industrials,"Electronics, Electrical Equip.","McKinney, TX",1629,2567.7,372.4,-91.0
982,Playtika Holding,Media,Entertainment,"Henderson, NV",3600,2567.0,235.0,-22.0
983,Alliance Resource Partners,Energy,"Mining, Crude-Oil Production","Tulsa, OK",3595,2566.7,630.1,17.0
984,Envista Holdings,Health Care,Medical Products and Equipment,"Brea, CA",12800,2566.5,-100.2,-14.0
985,Shift4 Payments,Business Services,Financial Data Services,"Center Valley, PA",3030,2564.8,86.2,0.0
986,Talen Energy,Energy,Energy,"Houston, TX",2000,2554.0,,0.0
987,Carpenter Technology,Materials,Metals,"Philadelphia, PA",4500,2550.3,56.4,0.0
988,WEX,Business Services,Financial Data Services,"Portland, ME",7200,2548.0,266.6,0.0
989,Old National Bancorp,Financials,Commercial Banks,"Evansville, IN",3940,2540.2,582.0,0.0
990,AGNC Investment,Financials,Real estate,"Bethesda, MD",53,2538.0,155.0,0.0
991,Wabash National,Motor Vehicles & Parts,Motor Vehicles & Parts,"Lafayette, IN",6667,2536.5,231.3,-5.0
992,MSCI,Business Services,Financial Data Services,"New York, NY",5794,2528.9,1148.6,0.0
993,Stagwell,Business Services,"Advertising, marketing","New York, NY",10250,2527.2,0.1,-46.0
994,Mativ Holdings,Chemicals,Chemicals,"Alpharetta, GA",5400,2516.9,-309.5,0.0
995,Belden,Industrials,"Electronics, Electrical Equip.","St. Louis, MO",8000,2512.1,242.8,-36.0
996,Allegiant Travel,Transportation,Airlines,"Las Vegas, NV",6686,2509.9,117.6,0.0
997,Dropbox,Technology,Computer Software,"San Francisco, CA",2693,2501.6,453.6,0.0
998,Exact Sciences,Health Care,Pharmaceuticals,"Madison, WI",6550,2499.8,-204.1,0.0
999,BWX Technologies,Aerospace & Defense,Aerospace & Defense,"Lynchburg, VA",7800,2496.3,245.8,0.0
1000,Clear Channel Outdoor Hldgs.,Business Services,"Advertising, marketing","San Antonio, TX",3900,2489.0,-310.9,-10.0
