Date,Open,High,Low,Close,Volume
2024-01-02,185.78943757371047,187.07006792285642,182.55314280656535,184.29042053222656,82488700
2024-01-03,182.88074176951616,184.52867738484042,182.0964765011294,182.9105224609375,58414500
2024-01-04,180.82576992798064,181.7589385851153,179.56501368920854,180.5875244140625,71983600
2024-01-05,180.66696287937032,181.43135417752765,178.86018676112266,179.8628387451172,62303300
2024-01-08,180.76622380895435,184.2507162227342,180.18051667398524,184.21099853515625,59144500
2024-01-09,182.58292017691045,183.80397397190293,181.40156892129536,183.79405212402344,42841800
2024-01-10,183.00979086506445,185.04487535026095,182.5829090664718,184.83641052246094,46792900
2024-01-11,185.1838742981323,185.69017636593313,182.28510409693843,184.24078369140625,49128400
2024-01-12,184.70737150933715,185.38243589635255,183.84370111575322,184.56838989257812,40444700
2024-01-16,180.83571426310817,182.92043833380222,179.61464536328148,182.29502868652344,65603000
2024-01-17,179.95219077216925,181.6001112377356,178.98924135636386,181.3519287109375,47317400
2024-01-18,184.73713933247967,187.76496914507203,184.47903496158258,187.25868225097656,78005800
2024-01-19,187.9535897974558,190.55453778649462,187.4473029046773,190.16737365722656,68741000
2024-01-22,190.90200101096366,193.90997199821769,190.86228332421425,192.48043823242188,60133900
2024-01-23,193.60223731108647,194.3269260762536,192.42088601370864,193.7610626220703,42355600
2024-01-24,193.99930838143553,194.9523359132993,192.92715808853583,193.08599853515625,53631300
2024-01-25,193.80077725921535,194.84314692565724,191.70611607825748,192.75840759277344,54822100
2024-01-26,192.85767485186383,193.3441028913112,190.54461197208147,191.0211181640625,44594000
2024-01-29,190.614099077556,190.80272021826386,188.20177223046258,190.3361358642578,47145600
2024-01-30,189.5518847070131,190.4056331853674,186.10711010289756,186.67295837402344,55859400
2024-01-31,185.6802399646441,185.7398164976455,183.00980859435379,183.05943298339844,55467800
2024-02-01,182.6524257138898,185.59089847447947,182.48366340616798,185.50155639648438,64885400
2024-02-02,178.55244241438749,185.96813772334343,177.9468764270477,184.4989013671875,102518000
2024-02-05,186.78216664518396,187.87417583998953,184.48896248395178,186.31558227539062,69668800
2024-02-06,185.50154897397763,187.9337347140823,185.4122068995574,187.92381286621094,43490800
2024-02-07,189.2540738540102,189.66109684812312,187.23883287556598,188.03302001953125,53439000
2024-02-08,188.0131716874575,188.1620751580878,185.98800874758206,186.95095825195312,40962000
2024-02-09,187.5174970927484,188.8494643803939,186.8714052160575,187.71630859375,45155200
2024-02-12,187.28888476363343,187.537383976275,185.66866504371018,186.02650451660156,41781900
2024-02-13,184.6548126341336,185.09217370700773,182.4083698811328,183.92918395996094,56529500
2024-02-14,184.20751487981576,184.41624573755993,181.34479892181088,183.04452514648438,54630500
2024-02-15,182.4481499819002,183.38250957635185,180.2613596441227,182.75628662109375,65434500
