Beverage Category,Beverage,Size,Milk,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (g),Total Carbohydrates (g),Cholesterol (g),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (g)
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Grande,Nonfat Milk,240,0.1,0.1,0.0,0.005,230,0.056,0,55,5.0,8%,0%,15%,0%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Grande,Nonfat Milk,240,0.1,0.1,0.0,0.005,230,0.056,0,55,5.0,8%,0%,15%,0%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Grande,Whole Milk,280,4.5,2.5,0.1,0.015,230,0.056,0,55,4.0,6%,0%,15%,0%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Grande,Soymilk,250,2.5,0.3,0.0,0.0,220,0.054,1,51,4.0,6%,0%,15%,8%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Venti,Nonfat Milk,320,0.2,0.1,0.0,0.005,300,0.073,0,71,7.0,10%,0%,20%,0%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Venti,Nonfat Milk,320,0.2,0.1,0.0,0.005,300,0.073,0,71,7.0,10%,0%,20%,0%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Venti,Whole Milk,370,7.0,4.0,0.2,0.02,300,0.073,0,71,6.0,10%,0%,20%,0%,0.0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream),Venti,Soymilk,330,3.0,0.4,0.0,0.0,290,0.069,1,66,6.0,8%,0%,25%,10%,0.0
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Tall,Nonfat Milk,190,3.0,2.5,0.0,0.0,180,0.039,1,36,5.0,6%,0%,10%,20%,0.01
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Tall,Nonfat Milk,190,3.0,2.5,0.0,0.0,180,0.039,1,36,5.0,6%,0%,10%,20%,0.01
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Tall,Whole Milk,220,6.0,4.0,0.1,0.01,180,0.038,1,35,4.0,6%,0%,10%,20%,0.01
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Tall,Soymilk,190,4.5,2.5,0.0,0.0,180,0.037,2,33,4.0,4%,0%,15%,25%,0.01
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Grande,Nonfat Milk,260,4.0,3.0,0.0,0.005,250,0.053,2,49,6.0,8%,0%,15%,25%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Grande,Nonfat Milk,260,4.0,3.0,0.0,0.005,250,0.053,2,49,6.0,8%,0%,15%,25%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Grande,Whole Milk,290,8.0,6.0,0.2,0.015,250,0.053,2,49,6.0,6%,0%,15%,25%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Grande,Soymilk,260,6.0,3.5,0.0,0.0,240,0.051,2,45,5.0,6%,0%,15%,30%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Venti,Nonfat Milk,350,5.0,4.0,0.0,0.005,340,0.071,2,66,9.0,10%,0%,25%,35%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Venti,Nonfat Milk,350,5.0,4.0,0.0,0.005,340,0.071,2,66,9.0,10%,0%,25%,35%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Venti,Whole Milk,400,12.0,8.0,0.2,0.02,340,0.071,2,65,8.0,10%,0%,20%,35%,0.015
Frappuccino Blended Creme,Double Chocolaty Chip (Without Whipped Cream),Venti,Soymilk,360,8.0,4.5,0.0,0.0,330,0.068,3,61,7.0,8%,0%,25%,45%,0.015
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Tall,Nonfat Milk,210,0.2,0.1,0.0,0.0,160,0.048,1,47,4.0,6%,10%,15%,2%,0.05
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Tall,Nonfat Milk,210,0.2,0.1,0.0,0.0,160,0.048,1,47,4.0,6%,10%,15%,2%,0.05
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Tall,Whole Milk,240,3.5,2.0,0.1,0.01,160,0.048,1,47,4.0,6%,10%,10%,2%,0.05
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Tall,Soymilk,220,2.0,0.2,0.0,0.0,160,0.046,1,44,4.0,4%,10%,15%,8%,0.05
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Grande,Nonfat Milk,280,0.3,0.1,0.0,0.005,220,0.065,1,64,5.0,8%,10%,15%,4%,0.07
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Grande,Nonfat Milk,280,0.3,0.1,0.0,0.005,220,0.065,1,64,5.0,8%,10%,15%,4%,0.07
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Grande,Whole Milk,320,4.5,2.5,0.1,0.015,220,0.065,1,63,5.0,6%,10%,15%,4%,0.07
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Grande,Soymilk,290,2.5,0.3,0.0,0.0,210,0.063,2,60,5.0,6%,10%,15%,10%,0.07
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Venti,Nonfat Milk,390,0.4,0.1,0.0,0.005,300,0.088,2,87,8.0,10%,15%,25%,6%,0.095
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Venti,Nonfat Milk,390,0.4,0.1,0.0,0.005,300,0.088,2,87,8.0,10%,15%,25%,6%,0.095
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Venti,Whole Milk,440,7.0,4.0,0.2,0.02,300,0.088,2,86,7.0,10%,15%,20%,6%,0.095
Frappuccino Blended Creme,Green Tea (Without Whipped Cream),Venti,Soymilk,400,3.5,0.4,0.0,0.0,290,0.085,2,81,7.0,8%,15%,25%,15%,0.095
